#|num|weight|mean|covariance matrix|
|0|1423.33947458|37.7044859753 6.76144606505 -6.53166008969|23.6588181779 -12.0680302249 23.7546688967 -12.0680302249 12.7772333731 -8.64219094448 23.7546688967 -8.64219094448 50.2502296488|
|1|2054.58350181|35.1540209144 -0.516294624925 -14.6787305769|17.4983207734 -2.15428495367 18.9520082239 -2.15428495367 16.3121016392 1.77933356989 18.9520082239 1.77933356989 48.7028718342|
|2|861.842817026|42.2996122493 -3.93294854289 -1.3522032706|4.66079977941 -3.14788315089 -6.55422575276 -3.14788315089 18.5678306432 1.12852406519 -6.55422575276 1.12852406519 20.815434568|
|3|434.68431212|23.6236659448 -7.84939565203 -9.2101915804|11.500992396 -9.57182711161 -8.74012399675 -9.57182711161 11.3790071248 8.94371977434 -8.74012399675 8.94371977434 9.64013914047|
|4|404.934608709|35.477886564 -4.81341528593 -27.3923140467|9.02390992684 4.20122278716 0.550655327754 4.20122278716 2.70792734575 -0.399755280635 0.550655327754 -0.399755280635 9.19977459023|
|5|772.645690114|31.658375326 -1.32755684316 9.67632072273|9.6669529413 1.3148637962 -2.92753902493 1.3148637962 4.68385908076 -6.01174479637 -2.92753902493 -6.01174479637 22.6067152122|
|6|1565.791868|24.9933771949 -0.153984811789 -18.2334992466|10.7876286603 0.821693939569 -9.92219737836 0.821693939569 18.5668911837 -2.06032609407 -9.92219737836 -2.06032609407 26.6632701136|
|7|729.289243636|35.8421226035 -10.6722055844 18.2371955|17.9013810897 -8.60662344185 -2.31199305328 -8.60662344185 9.528670338 -3.19237436917 -2.31199305328 -3.19237436917 7.43118902994|
|8|1225.31693558|33.8704071122 -7.94759825916 -5.96413606866|10.154989366 -1.38526693473 13.6514771663 -1.38526693473 9.34390065277 5.44856603696 13.6514771663 5.44856603696 40.0797801222|
|9|716.581456313|26.239388048 -1.07812009469 0.289618525575|10.1080947318 -4.35432406423 8.25301666965 -4.35432406423 12.5836765716 3.09943583584 8.25301666965 3.09943583584 22.6495616809|
|10|1315.588155|28.7761738551 4.45800184876 -8.48979448442|9.95773012929 -4.17537366202 5.87095914003 -4.17537366202 21.2350292514 -10.1134483313 5.87095914003 -10.1134483313 25.0449456526|
|11|671.360129119|38.8190573292 -9.25650188786 -18.4941129916|5.7682925779 -3.20923828206 5.75071092522 -3.20923828206 7.99922142496 -10.1191730589 5.75071092522 -10.1191730589 29.3567921205|
|12|1416.6121332|31.7838395455 7.73742784275 2.66142512326|27.8142693988 -2.39962024988 8.68401042125 -2.39962024988 6.13017533377 -4.19769573535 8.68401042125 -4.19769573535 18.8247087764|
|13|461.666374786|35.2806716067 8.36115663125 -20.2107761698|13.4541503846 -7.84785664551 2.86726092337 -7.84785664551 14.4971661416 2.62749676177 2.86726092337 2.62749676177 3.67499394275|
