#|num|weight|mean|covariance matrix|
|0|742.888602335|3.8357865701 -2.44585584041 1.8527592789|20.9674920626 -2.60593017769 7.47768954161 -2.60593017769 3.20126233375 0.381632305038 7.47768954161 0.381632305038 10.5211339589|
|1|784.418166788|9.19607773431 12.427179642 6.4422719119|39.9201719651 -0.507366580627 -0.593685143717 -0.507366580627 2.07590439291 -0.566924630155 -0.593685143717 -0.566924630155 4.18067084458|
|2|624.295500383|-9.726131703 12.5913882605 -2.13804180081|9.39408596056 -1.21507799514 -2.70988942877 -1.21507799514 6.73107558216 7.20747470233 -2.70988942877 7.20747470233 13.8218593113|
|3|1175.9507549|27.5723787336 7.0276947871 18.4198798063|13.8503627644 -3.73410949688 0.14882165991 -3.73410949688 12.627544159 -5.89456938151 0.14882165991 -5.89456938151 11.8192061434|
|4|976.894099167|4.28395195691 18.2073528516 0.611830528719|55.0746053193 8.47920200434 16.5189128462 8.47920200434 3.80295443124 1.82568041509 16.5189128462 1.82568041509 14.0003410698|
|5|1802.17142773|15.3736446857 0.608832527054 12.1345592537|34.9681962565 6.10437741245 21.6004687025 6.10437741245 11.0288113237 -1.81835733768 21.6004687025 -1.81835733768 31.6780436675|
|6|1561.71582247|-4.71901509558 8.96983071798 5.79933236138|22.5739372508 -2.12862818967 1.4445669952 -2.12862818967 16.9418589537 9.59260502607 1.4445669952 9.59260502607 14.724616833|
|7|501.531419787|-5.51941088786 0.839238088124 -2.73732550187|10.4156341681 0.729947418052 0.135460070992 0.729947418052 4.48600080306 -1.09957119152 0.135460070992 -1.09957119152 4.81568533543|
|8|744.667638546|15.8052571995 2.97208975771 1.20171557732|11.8507457104 -13.890042684 12.1105342804 -13.890042684 24.5328584342 -17.0780057785 12.1105342804 -17.0780057785 18.5879701687|
|9|1060.43896728|-5.17894804416 -0.133070363119 9.7743538509|23.6128308767 1.80221496426 8.03880789054 1.80221496426 7.20537725227 3.07253707599 8.03880789054 3.07253707599 10.7054164904|
|10|1335.20078754|9.06441157392 7.33057154924 14.2253090149|42.1846624443 11.4160725592 6.17545476386 11.4160725592 8.11252899734 3.87836150229 6.17545476386 3.87836150229 9.71408102571|
|11|1167.66615513|4.97268263963 8.19377250357 -2.61769505947|34.6505810752 -15.1455746805 6.62492093028 -15.1455746805 15.7473862029 -1.51817736398 6.62492093028 -1.51817736398 6.096811287|
|12|673.691157944|15.861896341 14.5565603812 11.3637262125|5.50502480213 -8.5104683675 0.951806933858 -8.5104683675 22.5693284982 -9.89254430838 0.951806933858 -9.89254430838 17.7048921722|
