|0|62252.3859796|201.3009463 267.465632146 266.114377914|235.403256894 -18.5025188444 103.499846931 -18.5025188444 672.540175411 51.9957595791 103.499846931 51.9957595791 495.912088383|
|1|51412.8638899|206.821463121 275.255558329 217.684934487|265.966551512 -46.3731089199 186.20127002 -46.3731089199 506.852356055 86.3211411969 186.20127002 86.3211411969 637.01867197|
|0|56076.1611219|273.076891318 246.712749491 188.407430523|202.232942584 18.0320190909 80.7130617667 18.0320190909 410.971909271 -35.0575685868 80.7130617667 -35.0575685868 496.726440576|
|1|76749.1824877|227.497965276 260.69191085 203.570789868|471.218578074 166.568546201 50.9833104109 166.568546201 462.501784541 -42.8191287134 50.9833104109 -42.8191287134 430.869089846|
|2|46677.2022789|234.637337322 211.87467239 193.8238987|399.83963081 103.813723333 98.6331912214 103.813723333 334.922653741 -97.7699299498 98.6331912214 -97.7699299498 398.965761449|
|0|64784.7057936|241.542365757 250.16897954 241.394268831|291.996330565 233.383023083 -108.517634388 233.383023083 760.024188578 -93.9687737808 -108.517634388 -93.9687737808 433.882870557|
|1|56329.6438654|276.089270679 237.256980379 225.209734227|267.380335944 189.561393053 -13.6507886094 189.561393053 434.979821762 -0.117945155518 -13.6507886094 -0.117945155518 513.42310923|
|0|100913.082172|235.16980345 218.014391259 214.913558164|223.69690061 -54.7597702324 -6.16863205645 -54.7597702324 227.468000651 -28.0103523028 -6.16863205645 -28.0103523028 738.296634488|
|0|52547.3415272|194.144000198 167.290699828 251.358121106|228.630540518 40.5446797701 76.6767984228 40.5446797701 362.316214669 103.937631892 76.6767984228 103.937631892 189.597828856|
|1|68646.7140828|212.123845429 202.924419037 224.540145288|266.778607052 13.6059776467 23.1633133444 13.6059776467 169.804490639 -81.1909643677 23.1633133444 -81.1909643677 599.057560825|
|2|60729.0838124|179.533378684 174.281905571 209.682959921|129.785887923 39.1098312933 -95.1682510433 39.1098312933 407.352500237 9.76633297284 -95.1682510433 9.76633297284 366.594326476|
|3|68514.3378844|209.654487481 163.027080926 209.28783441|165.53639484 165.310029395 21.0008477685 165.310029395 466.746296688 -227.519917986 21.0008477685 -227.519917986 601.381337146|
|0|71107.2172091|181.890185666 214.666114795 247.513488189|255.218117624 125.583748108 6.95879313875 125.583748108 293.475920681 59.4688391495 6.95879313875 59.4688391495 832.467754828|
|1|50953.5903956|188.734923701 175.287890327 202.145040925|353.55853137 84.8991676667 -81.3689744661 84.8991676667 349.747901185 -34.1221635165 -81.3689744661 -34.1221635165 206.045053891|
|2|68205.885298|198.031108039 173.501006239 243.028084329|283.12026041 117.187735647 4.3866749063 117.187735647 463.62110529 196.714797698 4.3866749063 196.714797698 389.844080788|
|0|89999.141872|204.320628738 246.49125676 253.573936634|264.017411226 -61.2855103519 -4.08580861947 -61.2855103519 376.281403461 96.9516041721 -4.08580861947 96.9516041721 797.585295735|
