|0|337.217903266|117.467151654 145.395665003 164.759303857|3.11346469189 -0.405123196037 -0.485399463874 -0.405123196037 12.1833993233 -2.76802079821 -0.485399463874 -2.76802079821 7.33755452923|
|1|422.143206294|111.988657112 146.896948025 154.470838417|10.1461620404 4.4568039376 7.76982426349 4.4568039376 6.97234268364 1.88486665938 7.76982426349 1.88486665938 16.592392161|
|2|729.739042835|111.343299613 139.830848321 158.795979167|13.9515887583 -0.14820118594 7.92766965873 -0.14820118594 7.66414253671 -0.534608801303 7.92766965873 -0.534608801303 16.5341575833|
|0|747.084645726|113.684742077 167.464690019 124.33288723|13.1908441902 1.57030395858 -5.56947355013 1.57030395858 7.07446053163 1.59143486439 -5.56947355013 1.59143486439 17.3396963769|
|0|925.525472378|109.037690849 171.468199376 118.743419809|13.411899993 0.583851179983 1.50128057681 0.583851179983 7.41491941452 3.38549851745 1.50128057681 3.38549851745 20.2451856096|
|0|549.150642108|119.289159434 160.683153704 125.712670129|14.6848203736 -1.25127728733 -4.28462163211 -1.25127728733 8.31363783357 8.25676598137 -4.28462163211 8.25676598137 15.7400317076|
|1|661.587893772|125.925092096 156.377696686 128.409743055|17.2980186966 -8.29195311294 -2.04321226932 -8.29195311294 11.5468799755 4.96940813123 -2.04321226932 4.96940813123 11.4570376596|
|0|398.764992639|124.464293511 147.761187117 124.284174826|8.25637483882 -5.35531757703 -0.235353028187 -5.35531757703 9.31833544801 4.39592799108 -0.235353028187 4.39592799108 12.9095887913|
|1|576.369983338|116.605378102 150.757003412 122.525500777|10.6691389098 -8.69638290124 -1.22963534776 -8.69638290124 18.7237348971 4.7424904034 -1.22963534776 4.7424904034 7.38582601483|
|0|420.469660479|106.744460121 128.436116264 112.760628886|12.1574421484 -0.992618283062 1.6357445212 -0.992618283062 5.07127475372 0.971050881555 1.6357445212 0.971050881555 9.09268576948|
|1|751.16210112|103.758004188 137.724460975 120.078755959|14.0971409082 -9.41341153614 -5.57851918657 -9.41341153614 17.6413396629 8.90435342016 -5.57851918657 8.90435342016 15.4799816933|
|2|418.566596325|97.6644940814 135.089753539 115.353576937|6.98596697906 -2.93612768316 -0.969826543719 -2.93612768316 11.9211165917 4.1069202352 -0.969826543719 4.1069202352 8.6541260214|
|0|561.218710163|107.283854003 135.157921319 107.156089336|10.1997505294 -1.94589050243 2.49336250318 -1.94589050243 12.3183689455 6.24876383577 2.49336250318 6.24876383577 9.90542190745|
|1|460.285534181|99.7438585618 137.253705132 106.60792972|7.94926897548 -3.52169864672 1.26100659391 -3.52169864672 7.54881725765 2.11167427009 1.26100659391 2.11167427009 11.7981078986|
|0|972.653881891|122.516736507 132.513448644 157.570972459|10.2477655457 5.21686577218 -10.933714545 5.21686577218 21.4433742819 -1.99073662351 -10.933714545 -1.99073662351 26.0113176364|
|0|854.349129485|122.222854294 122.714077189 159.483932811|14.4523623158 9.88793602404 -13.2000700232 9.88793602404 22.4798730702 -2.58068598431 -13.2000700232 -2.58068598431 23.6553913748|
|0|333.154417817|117.859427766 143.577359779 130.246276854|13.8772273628 -0.991236188429 -0.837634412747 -0.991236188429 6.21674013174 3.89580216404 -0.837634412747 3.89580216404 7.0042005697|
|1|665.715774222|110.380565896 149.697511976 130.43941891|16.1386302424 -8.07477858719 -3.31121751025 -8.07477858719 13.2351546014 4.45304972714 -3.31121751025 4.45304972714 9.11890169112|
|0|425.674059308|119.483653192 158.265004089 140.583598408|20.905531678 -6.84077324935 -4.49759595093 -6.84077324935 7.06964663623 -0.272904880333 -4.49759595093 -0.272904880333 6.07221751988|
|1|352.489108948|110.766093382 161.63066043 136.557912593|11.3825712535 1.43890176967 -1.42176867246 1.43890176967 5.47338674164 3.05160360861 -1.42176867246 3.05160360861 6.89429009318|
|2|683.836687383|118.029104753 154.001152587 136.385225988|25.608284505 -9.94170264668 -4.59858874801 -9.94170264668 10.465985178 0.818112953675 -4.59858874801 0.818112953675 7.28828558276|
