#|num|weight|mean|covariance matrix|
|0|110.694126875|33.80768104 0.948062115039 -3.53088864283|44.1854592826 -5.48901822339 2.86087752834 -5.48901822339 39.2827900625 5.5042250239 2.86087752834 5.5042250239 54.6887287493|
|1|125.492477203|34.4575607149 1.02691686457 -8.42104280369|38.2214983948 -6.83367720688 9.1267620291 -6.83367720688 42.3210017852 0.469422702045 9.1267620291 0.469422702045 67.1381850386|
|2|1216.17603172|30.9282481497 -5.7943055905 -4.62911954862|47.0134508611 -10.2704351432 9.87682297817 -10.2704351432 24.2062150095 10.9153690325 9.87682297817 10.9153690325 42.1442910193|
|3|2520.41832341|31.793572174 -5.17941380939 -18.3116102711|38.2008712627 -9.05272965535 -8.90314986425 -9.05272965535 22.0860922076 -7.29814443271 -8.90314986425 -7.29814443271 51.9593940171|
|4|399.382746937|33.3631173287 2.53014092245 -3.40068554371|42.429244319 -4.55083499807 2.12059957283 -4.55083499807 34.4078512711 0.897887227263 2.12059957283 0.897887227263 57.1239656655|
|5|1685.64220665|32.2725023496 -4.45900006681 12.8483742187|32.8191668812 -25.5803394861 16.5391895832 -25.5803394861 46.8979540605 -33.0000501452 16.5391895832 -33.0000501452 42.3007184894|
|6|140.893808125|34.2427539975 0.988330778019 -8.1600110448|39.1432628859 -6.50285038805 8.52867882507 -6.50285038805 42.116498187 0.807650734793 8.52867882507 0.807650734793 67.3036176847|
|7|1927.74103176|39.497710569 -1.7960155275 -3.6546409412|21.4404705055 -2.38952728117 2.93377978842 -2.38952728117 39.817743102 5.94451520743 2.93377978842 5.94451520743 42.9702066959|
|8|59.3704252702|32.4888874544 1.38555247775 -7.41360840328|42.2413225 -3.2261324656 5.39155278109 -3.2261324656 39.2164211655 2.74803752771 5.39155278109 2.74803752771 68.7709591313|
|9|1241.73576111|26.8048755242 2.63806256196 -11.8319032773|26.8057069164 8.80699795224 -4.63884742433 8.80699795224 35.7406090605 -3.166925128 -4.63884742433 -3.166925128 47.7821500635|
|10|212.162865377|36.5636187302 -0.954847991612 -9.20833195197|30.2146016147 -6.28316610697 11.0155574518 -6.28316610697 43.8969965663 1.02567209818 11.0155574518 1.02567209818 65.8570763145|
|11|97.5737379084|32.5087473246 1.61281351188 -7.29989990459|41.9885972016 -3.11465815968 5.39053486392 -3.11465815968 38.6101350156 2.31949074356 5.39053486392 2.31949074356 68.9016816584|
|12|2303.34962661|31.7310865168 4.18783631288 -17.240028751|28.7125985065 -2.40134190881 0.827787496159 -2.40134190881 32.9733934452 9.20392895122 0.827787496159 9.20392895122 36.8647597872|
|13|2247.78753104|32.8448006106 5.76739082371 0.639396413476|39.1850234686 -2.44311762843 -1.26692722544 -2.44311762843 20.3279410785 -1.49396495039 -1.26692722544 -1.49396495039 38.9656397363|
