#|num|weight|mean|covariance matrix|
|0|1556.84596559|234.728989538 290.6419488 266.651443612|130.010556151 -0.970082702144 9.90665157761 -0.970082702144 6.32973696834 2.76065902393 9.90665157761 2.76065902393 12.1575836356|
|1|1680.39196276|205.281097299 290.93378321 262.355324905|64.72604816 24.1360648532 -15.6270395293 24.1360648532 24.2745610715 -16.1380343455 -15.6270395293 -16.1380343455 15.8243843231|
|2|642.128557198|259.523024407 299.786996044 256.083044452|3.17637210826 1.42025140564 -2.01594452628 1.42025140564 21.8412728041 12.7464115454 -2.01594452628 12.7464115454 15.8792779668|
|3|1674.01379715|239.805054573 314.600774877 275.407683517|23.0230444209 -7.50810813942 -30.4148292982 -7.50810813942 10.7822785198 13.6243064849 -30.4148292982 13.6243064849 57.8589072087|
|4|356.500930501|190.32314777 275.387257121 268.617316885|2.00482083556 -0.247614706641 -1.56043786996 -0.247614706641 7.00853505314 -4.2925783602 -1.56043786996 -4.2925783602 7.06249257066|
|5|827.211867591|248.061003189 314.519241195 276.794221939|8.39681764418 -8.4982356914 3.32827613458 -8.4982356914 23.9171364456 -7.85354371872 3.32827613458 -7.85354371872 6.79109312217|
|6|1133.06718679|225.668860168 291.357083779 274.388557595|161.729190234 29.9117390559 4.19623496319 29.9117390559 26.4784810027 2.00010290847 4.19623496319 2.00010290847 1.33442707717|
|7|518.750200603|233.252574021 285.417384531 255.612894716|173.196847521 -17.5981657546 -32.6415216696 -17.5981657546 4.10757809679 4.45556869447 -32.6415216696 4.45556869447 7.51608493134|
|8|531.929280544|245.794380366 289.592243802 272.834484708|168.170895868 -4.78286677609 23.2209834485 -4.78286677609 2.70770848692 -1.75134088505 23.2209834485 -1.75134088505 5.26783693919|
|9|636.576246531|200.646393285 285.315855006 270.853920789|58.3194375252 31.2249487384 0.508700595681 31.2249487384 28.067204065 -0.285107540127 0.508700595681 -0.285107540127 1.37247857402|
|10|705.828343668|232.473549825 306.892152951 275.119780934|25.4887980048 16.967354811 18.0331896432 16.967354811 12.7843352854 12.6709131459 18.0331896432 12.6709131459 27.4434544071|
|11|591.401687169|242.780567959 298.525986116 262.474057763|22.5377124303 12.5376736529 3.68187474886 12.5376736529 22.963797829 15.1758089654 3.68187474886 15.1758089654 12.8259492892|
|12|1542.17413509|243.996208599 302.274940206 282.085235937|8.0181396369 6.68648088705 0.960781913484 6.68648088705 51.5277629565 17.9837867023 0.960781913484 17.9837867023 13.0167006934|
|13|835.960071436|224.584922067 301.541640211 265.113737532|46.7585199378 -3.16538014813 -12.9536638333 -3.16538014813 4.76186828006 -0.653708365804 -12.9536638333 -0.653708365804 6.79786620944|
|14|1703.73783339|219.165662903 283.357990733 269.00765554|71.2596853456 -0.548654604718 19.304125855 -0.548654604718 3.6166906945 -1.29321556636 19.304125855 -1.29321556636 15.9411443341|
|15|1078.16784386|264.379562993 297.854872227 265.239629783|10.4356483902 8.90897862299 -1.88535622273 8.90897862299 34.8226674583 -14.8952433072 -1.88535622273 -14.8952433072 12.347873049|
|16|1236.98811993|212.079520814 290.378808002 275.890488674|78.2129051728 28.9983836561 6.78528086238 28.9983836561 14.4342353347 1.67117983515 6.78528086238 1.67117983515 5.58652865274|
|17|758.744273495|212.072108221 302.465389559 257.91264343|40.5383117704 -10.8611968557 1.34590473118 -10.8611968557 4.68163483022 -0.391631654289 1.34590473118 -0.391631654289 7.81872656387|
|18|1147.60881223|250.098122226 283.499246324 257.704380433|54.2781138161 2.66304875194 14.0919562171 2.66304875194 5.02269488595 0.578770387132 14.0919562171 0.578770387132 7.0159482897|
|19|852.135147245|233.424914745 289.93772304 258.31594756|87.0318649639 -29.3747914978 -34.365897352 -29.3747914978 20.7723023528 9.20359626282 -34.365897352 9.20359626282 16.4432724727|
|20|1142.14887793|250.047465136 293.461267381 261.444722623|78.7927419382 16.7744014789 -7.08980539352 16.7744014789 8.71666200735 0.413498207985 -7.08980539352 0.413498207985 9.83439724805|
|21|503.621259186|232.663618786 295.284587596 273.201898515|166.460651718 -20.98339581 15.2727514119 -20.98339581 3.05492997421 -3.12881851329 15.2727514119 -3.12881851329 15.1931456165|
|22|928.477858662|208.335463913 297.998243727 268.469285662|56.9173039668 5.89333621023 -5.22617043571 5.89333621023 3.05704351042 -0.864363638268 -5.22617043571 -0.864363638268 4.7510144285|
|23|1528.52599563|251.013881682 299.023388823 269.08385228|52.3808582227 -43.6287187993 -5.23681495152 -43.6287187993 50.1108352023 9.96108747779 -5.23681495152 9.96108747779 8.67099268132|
|24|672.80498187|250.318703599 292.628891982 276.419366012|6.40939187126 11.3880866395 -0.733222945508 11.3880866395 47.4001229543 4.42350507022 -0.733222945508 4.42350507022 3.08546257407|
|25|954.042740255|236.572651172 301.835089533 271.218193238|19.7827488131 2.95275540123 1.99336681659 2.95275540123 16.3998253074 12.0565940927 1.99336681659 12.0565940927 13.2217952951|
|26|784.021307671|251.30866513 304.009645698 261.825411858|5.62020086384 -7.78462025178 -1.23517148021 -7.78462025178 21.8033452469 6.81123697603 -1.23517148021 6.81123697603 9.93085910683|
|27|836.769773704|225.957759198 294.714541066 259.961750633|50.2419572377 14.3579745957 2.00419537185 14.3579745957 21.4675868786 -6.05728981594 2.00419537185 -6.05728981594 3.60445761468|
|28|796.800942318|196.331250776 288.436977722 261.05544788|37.2418553214 29.6564719183 -3.51781394678 29.6564719183 40.4962195198 -6.30363634559 -3.51781394678 -6.30363634559 2.91165398831|
